Fish ID,Fish Name,Affected Structure or Process 1 superterm Name,Publication ID,Gene Symbol,tissue_system
ZDB-FISH-221101-17,pax3b<sup>umu6/umu6</sup>; pax7a<sup>umu3/umu3</sup>; pax3a<sup>umu5/umu5</sup>,primitive pectoral fin abductor,ZDB-PUB-210827-6,pax3b,Skeletal
ZDB-FISH-221101-17,pax3b<sup>umu6/umu6</sup>; pax7a<sup>umu3/umu3</sup>; pax3a<sup>umu5/umu5</sup>,posterior hypaxial muscle,ZDB-PUB-210827-6,pax3b,Skeletal
ZDB-FISH-221101-20,pax3b<sup>umu6/umu6</sup>; pax3a<sup>umu5/umu5</sup>,whole organism,ZDB-PUB-210827-6,pax3b,Whole organism
ZDB-FISH-221101-21,pax3b<sup>umu6/umu6</sup>; pax3a<sup>umu5/umu5</sup>; pax7b<sup>umu4/umu4</sup>,trunk,ZDB-PUB-210827-6,pax3b,Skeletal
ZDB-FISH-150901-15517,WT + MO1-pax7a,xanthophore,ZDB-PUB-080422-3,pax7a,Skin
ZDB-FISH-150901-15517,WT + MO1-pax7a,head,ZDB-PUB-080422-3,pax7a,Skeletal
ZDB-FISH-150901-15517,WT + MO1-pax7a,trunk,ZDB-PUB-080422-3,pax7a,Skeletal
ZDB-FISH-150901-15517,WT + MO1-pax7a,developmental pigmentation,ZDB-PUB-080422-3,pax7a,Skin
ZDB-FISH-160816-19,pax7a<sup>umu3/umu3</sup>; pax7b<sup>umu4/umu4</sup>,xanthophore differentiation,ZDB-PUB-160408-4,pax7a,Skin
ZDB-FISH-160816-19,pax7a<sup>umu3/umu3</sup>; pax7b<sup>umu4/umu4</sup>,whole organism,ZDB-PUB-160408-4,pax7a,Whole organism
ZDB-FISH-160816-19,pax7a<sup>umu3/umu3</sup>; pax7b<sup>umu4/umu4</sup>,dorsal larval melanophore stripe,ZDB-PUB-160408-4,pax7a,Skin
ZDB-FISH-221101-16,pax7a<sup>umu3/umu3</sup>,pectoral fin,ZDB-PUB-210827-6,pax7a,Skeletal
ZDB-FISH-221101-22,pax7a<sup>umu3/umu3</sup>; pax7b<sup>umu4/umu4</sup>,integument,ZDB-PUB-210827-6,pax7a,Skeletal
ZDB-FISH-221101-23,pax7a<sup>umu3/umu3</sup>; pax3a<sup>umu5/umu5</sup>; pax7b<sup>umu4/umu4</sup>,pectoral fin musculature,ZDB-PUB-210827-6,pax7a,Skeletal
ZDB-FISH-221101-23,pax7a<sup>umu3/umu3</sup>; pax3a<sup>umu5/umu5</sup>; pax7b<sup>umu4/umu4</sup>,sternohyoid,ZDB-PUB-210827-6,pax7a,Skeletal
ZDB-FISH-221101-23,pax7a<sup>umu3/umu3</sup>; pax3a<sup>umu5/umu5</sup>; pax7b<sup>umu4/umu4</sup>,primitive pectoral fin adductor,ZDB-PUB-210827-6,pax7a,Skeletal
ZDB-FISH-221101-23,pax7a<sup>umu3/umu3</sup>; pax3a<sup>umu5/umu5</sup>; pax7b<sup>umu4/umu4</sup>,primitive pectoral fin abductor,ZDB-PUB-210827-6,pax7a,Skeletal
ZDB-FISH-221104-5,pax7a<sup>umu3/umu3</sup>; pax7b<sup>umu4/umu4</sup>; i150Tg,myotome,ZDB-PUB-210827-6,pax7a,Skeletal
ZDB-FISH-170628-46,pax7b<sup>oz32/oz32</sup>; pax7a<sup>oz23/oz23</sup>,skeletal muscle,ZDB-PUB-170311-9,pax7b,Skeletal
ZDB-FISH-221101-18,pax7b<sup>umu4/umu4</sup>,pectoral fin,ZDB-PUB-210827-6,pax7b,Skeletal
ZDB-FISH-230907-2,pax7b<sup>nkgsaizGFFD164AGt/nkgsaizGFFD164AGt</sup>; gl37Tg/gl37Tg + CRISPR1-ccr2 + CRISPR2-ccr2,somite,ZDB-PUB-210212-3,pax7b,Embryo
ZDB-FISH-230907-2,pax7b<sup>nkgsaizGFFD164AGt/nkgsaizGFFD164AGt</sup>; gl37Tg/gl37Tg + CRISPR1-ccr2 + CRISPR2-ccr2,skeletal muscle satellite cell,ZDB-PUB-210212-3,pax7b,Skeletal
ZDB-FISH-200211-1,y1Tg + MO1-peak1,intersegmental vessel,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-200211-1,y1Tg + MO1-peak1,angiogenic sprout,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-200211-1,y1Tg + MO1-peak1,subintestinal vein,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-200211-1,y1Tg + MO1-peak1,dorsal longitudinal anastomotic vessel,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-200211-2,AB + MO1-peak1,blood circulation,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-200211-2,AB + MO1-peak1,blood,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-200211-2,AB + MO1-peak1,pericardium,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-200211-5,peak1<sup>zf2170/zf2170</sup>,whole organism,ZDB-PUB-180607-5,peak1,Whole organism
ZDB-FISH-200211-6,y7Tg + MO1-peak1,blood vessel endothelial cell,ZDB-PUB-180607-5,peak1,Circulatory
ZDB-FISH-150901-9678,AB + MO2-poc5,anterior/posterior axis specification,ZDB-PUB-150203-2,poc5,Embryo
ZDB-FISH-150901-9678,AB + MO2-poc5,whole organism,ZDB-PUB-150203-2,poc5,Whole organism
ZDB-FISH-150901-9678,AB + MO2-poc5,post-vent region,ZDB-PUB-150203-2,poc5,Skeletal
ZDB-FISH-180615-7,TL + MO3-poc5,eye photoreceptor cell,ZDB-PUB-171223-8,poc5,Nervous
ZDB-FISH-180615-7,TL + MO3-poc5,eye development,ZDB-PUB-171223-8,poc5,Nervous
ZDB-FISH-180615-7,TL + MO3-poc5,visual behavior,ZDB-PUB-171223-8,poc5,Whole organism
ZDB-FISH-180615-7,TL + MO3-poc5,pericardium,ZDB-PUB-171223-8,poc5,Circulatory
ZDB-FISH-150901-7187,slc22a21<sup>ipk1Tg/ipk1Tg</sup> (EKW),amino-acid betaine transport,ZDB-PUB-150311-19,slc22a2,Cell process
ZDB-FISH-200206-3,s843Tg + MO1-slc22a2,determination of heart left/right asymmetry,ZDB-PUB-190511-6,slc22a2,Circulatory
ZDB-FISH-200206-3,s843Tg + MO1-slc22a2,cardiac ventricle,ZDB-PUB-190511-6,slc22a2,Circulatory
ZDB-FISH-200206-3,s843Tg + MO1-slc22a2,heart,ZDB-PUB-190511-6,slc22a2,Circulatory
ZDB-FISH-200206-3,s843Tg + MO1-slc22a2,atrium,ZDB-PUB-190511-6,slc22a2,Circulatory
ZDB-FISH-200206-3,s843Tg + MO1-slc22a2,trunk vasculature,ZDB-PUB-190511-6,slc22a2,Circulatory
ZDB-FISH-150901-12883,WT + MO3-slc22a4,response to methylmercury,ZDB-PUB-130703-42,slc22a4,Cell process
ZDB-FISH-150901-14690,WT + MO2-slc22a4,selenium compound metabolic process,ZDB-PUB-130703-42,slc22a4,Cell process
ZDB-FISH-150901-14690,WT + MO2-slc22a4,whole organism,ZDB-PUB-130703-42,slc22a4,Whole organism
ZDB-FISH-150901-2832,WT + MO1-slc22a5,nucleate erythrocyte,ZDB-PUB-090807-19,slc22a5,Circulatory
ZDB-FISH-150901-2832,WT + MO1-slc22a5,heme biosynthetic process,ZDB-PUB-090807-19,slc22a5,Circulatory
ZDB-FISH-160119-5,AB/EKW + MO1-sptlc3,motor neuron,ZDB-PUB-150811-4,sptlc3,Nervous
ZDB-FISH-200123-14,twu34Tg + MO1-tctn2,heart looping,ZDB-PUB-180531-6,tctn2,Circulatory
ZDB-FISH-200123-14,twu34Tg + MO1-tctn2,determination of heart left/right asymmetry,ZDB-PUB-180531-6,tctn2,Circulatory
ZDB-FISH-200123-22,AB + MO1-tctn2,heart primordium,ZDB-PUB-180531-6,tctn2,Circulatory
ZDB-FISH-200123-22,AB + MO1-tctn2,lateral plate mesoderm,ZDB-PUB-180531-6,tctn2,Skeletal
ZDB-FISH-150901-9610,"ml2Tg + MO1-uba1 (EKW, TL)",motor neuron,ZDB-PUB-140513-428,uba1,Nervous
ZDB-FISH-211130-3,uba1<sup>hg120/hg120</sup>; i114Tg,whole organism,ZDB-PUB-201028-8,uba1,Whole organism
ZDB-FISH-211130-3,uba1<sup>hg120/hg120</sup>; i114Tg,neutrophil,ZDB-PUB-201028-8,uba1,Whole organism
ZDB-FISH-220602-1,vtg1<sup>inr101/inr101</sup> (TU),female organism,ZDB-PUB-190807-7,vtg1,Reproductive
ZDB-FISH-220602-2,vtg1<sup>inr101/inr101</sup> (TU),fertilized egg,ZDB-PUB-190807-7,vtg1,Reproductive
ZDB-FISH-220602-2,vtg1<sup>inr101/inr101</sup> (TU),pericardium,ZDB-PUB-190807-7,vtg1,Circulatory
ZDB-FISH-220602-2,vtg1<sup>inr101/inr101</sup> (TU),yolk,ZDB-PUB-190807-7,vtg1,Reproductive
ZDB-FISH-220602-2,vtg1<sup>inr101/inr101</sup> (TU),post-vent region,ZDB-PUB-190807-7,vtg1,Reproductive
ZDB-FISH-220602-2,vtg1<sup>inr101/inr101</sup> (TU),whole organism,ZDB-PUB-190807-7,vtg1,Whole organism
ZDB-FISH-240912-1,vtg2<sup>inr103/inr103</sup>,whole organism,ZDB-PUB-231102-9,vtg2,Whole organism
ZDB-FISH-240912-1,vtg2<sup>inr103/inr103</sup>,yolk,ZDB-PUB-231102-9,vtg2,Embryo
ZDB-FISH-240912-1,vtg2<sup>inr103/inr103</sup>,early embryonic cell,ZDB-PUB-231102-9,vtg2,Embryo
ZDB-FISH-240912-1,vtg2<sup>inr103/inr103</sup>,hatching,ZDB-PUB-231102-9,vtg2,Embryo
ZDB-FISH-240912-1,vtg2<sup>inr103/inr103</sup>,pericardium,ZDB-PUB-231102-9,vtg2,Circulatory
ZDB-FISH-240912-1,vtg2<sup>inr103/inr103</sup>,post-vent region,ZDB-PUB-231102-9,vtg2,Skeletal
ZDB-FISH-240912-1,vtg2<sup>inr103/inr103</sup>,coelom,ZDB-PUB-231102-9,vtg2,Embryo
ZDB-FISH-240912-2,vtg2<sup>inr103/+</sup>,female organism,ZDB-PUB-231102-9,vtg2,Reproductive
ZDB-FISH-240912-2,vtg2<sup>inr103/+</sup>,fertilized egg,ZDB-PUB-231102-9,vtg2,Reproductive
